"","COMPRAS","EDAD","ANTIGUEDAD","GENERO","INGRESOS","LONG","LAT"
"86",600.17,39,0,0,1406,-3.71220432766713,40.5058091189014
"87",768.59,54,1,0,5181,-3.71758850812912,40.5282655995572
"88",451.6,42,3,1,2767,-3.71362676911522,40.4226209697546
"89",444.24,61,6,0,1549,-3.59992951874156,40.4517413890455
"90",520.61,57,1,0,854,-3.6646601377055,40.372599498299
"91",501.1,17,1,0,1136,-3.60836375141516,40.4291090183426
"92",675.11,44,3,0,1341,-3.82171182087623,40.582482702611
"93",569.01,63,4,0,2466,-3.63669242754113,40.4132022877922
"94",550.56,11,3,0,759,-3.54471541531384,40.4843509833328
"95",495.04,60,2,1,1018,-3.8179426941555,40.484652326256
"96",619.31,51,3,0,1237,-3.80550161618739,40.5468021593289
"97",455.87,32,4,1,3058,-3.58846508068964,40.3304499116959
"98",527.8,16,2,0,3682,-3.56429960960522,40.4060977064539
"99",474.25,25,2,0,485,-3.62589175659232,40.4218872688245
"100",553.61,47,4,0,1027,-3.58815543665551,40.4790502019925
"101",313.77,45,7,1,684,-3.77381020211615,40.4123461521696
"102",561.31,34,3,1,896,-3.79000346628018,40.4714607078815
"103",348.76,83,5,0,2303,-3.67982146129943,40.4498238818953
"104",483.19,40,5,1,1113,-3.68907191625331,40.603549784678
"105",454.54,23,4,1,663,-3.6302054266911,40.348615002865
"106",397.47,18,4,0,2674,-3.59137220073026,40.3647811975563
"107",437.58,40,4,0,1037,-3.74265561669599,40.4128333121073
"108",554.98,44,2,1,1012,-3.65038946582936,40.3457508869935
"109",598.09,64,1,1,4204,-3.75157611838076,40.4841530452715
"110",498.33,70,2,1,1588,-3.63005738982465,40.4200806101318
"111",639.07,57,3,0,2198,-3.84324358843733,40.5186699445359
"112",410,41,4,1,573,-3.65206353457179,40.4700500920182
"113",555.54,59,3,1,1836,-3.68958933195099,40.4977108209161
"114",565.07,47,2,0,1177,-3.57556150746532,40.3696932679042
"115",475.29,53,3,1,727,-3.62334626002703,40.3950521136168
"116",531.65,40,3,0,1016,-3.54659977378324,40.4615522941342
"117",643.86,58,2,0,1431,-3.60076673978474,40.3888606480788
"118",415.02,70,3,0,1033,-3.68370657598134,40.3800224334002
"119",604.78,43,2,0,1071,-3.59541868148372,40.3134225579444
"120",635.17,27,4,0,5329,-3.80470048075076,40.5387147166068
"121",463.99,51,5,0,1046,-3.61023924858309,40.3455488972133
"122",258.17,27,6,1,4682,-3.7516875609057,40.3902026162716
"123",604.1,42,3,0,1311,-3.76425418511499,40.5953178300289
"124",360.19,29,3,0,1778,-3.73388616656885,40.3817613552557
"125",416.85,34,2,1,903,-3.69280265327543,40.5685674787266
"126",625.6,56,6,1,2224,-3.68289093519561,40.5900462427409
"127",499.42,22,1,0,654,-3.62837469459046,40.3592055215733
"128",430.27,36,5,1,622,-3.61380794385914,40.3891993114259
"129",555.39,55,0,0,2094,-3.59059178605676,40.4470972831361
"130",489.82,30,2,0,737,-3.72512030063663,40.4589045293862
"131",337.57,54,7,0,625,-3.72035708671901,40.4084943966474
"132",581.19,57,3,0,2155,-3.61555304899812,40.5903077095747
"133",516.97,34,2,0,1081,-3.58655351619236,40.4620026764926
"134",674.81,53,4,0,2201,-3.71395289150532,40.517683316418
"135",554.69,46,6,0,18546,-3.8488602350466,40.5271385860862
"136",439.21,68,1,1,899,-3.66335337210912,40.5164354524342
"137",382.42,15,8,1,1032,-3.782900434779,40.5003086646786
"138",486.43,56,3,1,1187,-3.67168662822805,40.4374147912487
"139",570.36,33,3,0,748,-3.72697398739401,40.5754725271137
"140",581.55,24,5,0,2615,-3.54886507997289,40.3963763692183
"141",336.94,27,3,1,1058,-3.67549029048532,40.4600705252262
"142",515.96,40,2,0,2549,-3.63765008919872,40.3300312670646
"143",562.61,63,6,0,2697,-3.62386491426732,40.3271199081093
"144",394.75,71,1,0,1657,-3.66861778984312,40.463684273581
"145",475.68,48,3,0,3098,-3.78835054403171,40.387390465755
"146",357.32,37,3,0,1174,-3.76300511565059,40.378440834512
"147",601.24,55,4,0,856,-3.67644738077652,40.5952760878019
"148",433.45,36,7,1,526,-3.72226856914349,40.5034306670306
"149",482.57,10,1,0,1087,-3.77298617442138,40.565849720547
"150",515.78,30,3,0,2355,-3.56920663742349,40.3870334328851
"151",353.06,43,4,1,850,-3.7599464885192,40.370903895516
"152",512.96,51,3,0,1972,-3.70137475999072,40.5085241310764
"153",482.26,38,1,0,1018,-3.5983120131772,40.3520800506696
"154",397.92,67,2,0,1035,-3.77518516089767,40.4135285995901
"155",624.62,35,4,0,721,-3.81409401095007,40.5484257895034
"156",595.67,64,2,0,5759,-3.73416377694812,40.4627995137591
"157",351.96,76,4,0,1405,-3.71783396843821,40.3724828644656
"158",574.47,55,5,0,1717,-3.66620884542353,40.3390638838057
"159",496.12,77,3,0,2304,-3.78006391306408,40.5223509350792
"160",567.71,41,5,0,1583,-3.87324234130792,40.5737600453896
"161",445.71,74,6,0,1307,-3.52573905522004,40.4109767291695
"162",594.79,54,1,0,831,-3.81453094093595,40.4901510882657
"163",607.32,25,2,0,7361,-3.74533126791939,40.5587616808945
"164",580.13,41,1,1,817,-3.66092346408404,40.4409595071804
"165",490.3,77,4,0,1612,-3.83380063807126,40.5314762555528
"166",544.42,68,0,0,1251,-3.63799008259084,40.4281366833486
"167",432.93,40,4,1,1132,-3.62500189160928,40.4961568833562
"168",528.1,49,3,1,759,-3.84251744053327,40.5442141286796
"169",473.29,26,4,0,1035,-3.63935444129165,40.3959088421427
"170",469.7,42,2,1,595,-3.66285297039431,40.4986401492963
"171",313.84,81,9,1,3185,-3.6329725936288,40.3441283932654
"172",436.72,44,1,1,2450,-3.6359097370645,40.4688378181774
"173",580.09,44,4,0,2121,-3.84716047286056,40.5673540323507
"174",498.72,40,4,0,1442,-3.57165104427841,40.5068261237349
"175",556.46,32,3,0,707,-3.65661053217482,40.5939201141475
"176",621.55,40,3,0,3432,-3.75534483660012,40.4941305735149
"177",324.67,38,8,0,566,-3.77335726770107,40.4191360814031
"178",609.82,52,4,0,1447,-3.65467000890058,40.6386269635288
"179",572.7,47,2,0,3204,-3.62249727149028,40.3490133455955
"180",749.19,51,2,1,2506,-3.82271648906171,40.5317864019191
"181",530.26,38,0,0,1416,-3.65867985689547,40.3735307127237
"182",565.25,47,1,0,872,-3.57742895730771,40.3580766909756
"183",389.67,27,3,0,550,-3.71531902914867,40.3392944855616
"184",607.81,53,1,0,1500,-3.63931527894456,40.4083480576985
"185",653.17,42,2,0,803,-3.80175191313028,40.5893762156367
"186",419.2,60,4,1,1547,-3.69332971747499,40.3615963911172
"187",575.32,35,1,1,1158,-3.70080382979941,40.573714182293
"188",376.14,16,4,0,812,-3.77232642504387,40.4203170672292
"189",577.98,39,0,0,1617,-3.65323472544551,40.6050482090097
"190",500.11,37,5,1,1000,-3.56552136663813,40.3721307884436
"191",632.26,39,1,1,1659,-3.73744783594739,40.540263417922
"192",584.83,25,3,1,686,-3.82912843159866,40.5216209689854
"193",513.7,51,4,0,2093,-3.77033311836421,40.4552125105867
"194",576.42,72,3,1,1232,-3.87274553345051,40.5867251939373
"195",564.57,51,3,1,3393,-3.78450178853236,40.5966242915485
"196",444.71,60,3,0,1144,-3.78115516013931,40.3673756007804
"197",578,63,2,1,1509,-3.78192610326223,40.5811129467795
"198",567.77,62,4,0,948,-3.64663988151588,40.6167044573696
"199",492.06,64,6,1,1139,-3.68818428632803,40.5526553341653
"200",496.39,49,2,0,858,-3.67645760669839,40.3617586179636
"201",638.71,60,2,0,1030,-3.7950877552852,40.4847414946882
"202",433.4,75,4,0,1265,-3.67946681529284,40.5077236457029
"203",625.72,48,3,0,987,-3.63793093627319,40.5852666979656
"204",565.94,34,1,0,4915,-3.57138926894404,40.4676000195788
"205",443.32,61,6,0,2043,-3.684236444626,40.4087570017902
"206",545.64,54,3,1,935,-3.60876589999534,40.4977451864863
"207",548.35,70,4,0,2864,-3.61358681190759,40.322325542965
"208",633.48,54,4,0,3920,-3.68568050405011,40.5837721927557
"209",449.54,59,3,1,684,-3.58501106556505,40.506605611695
"210",523.2,58,3,0,865,-3.5803171322681,40.3827842531493
"211",626.1,47,2,1,876,-3.68715952346101,40.5327073672554
"212",536.78,41,4,0,1342,-3.64635425151791,40.3743268530117
"213",530.81,48,4,1,3737,-3.7277457539225,40.3834085254231
"214",574.04,68,3,1,2641,-3.83309864960611,40.5858975756448
"215",540.44,59,5,0,5934,-3.64998716893606,40.3532049571397
"216",570.74,48,3,1,945,-3.61122277399991,40.4972103016218
"217",555.99,40,3,1,1272,-3.73321514178533,40.4256299197907
"218",494.94,43,3,1,1476,-3.60451932493597,40.4589164233068
"219",309.53,30,6,0,1703,-3.78782480335794,40.3778073655441
"220",426.07,52,3,0,3263,-3.75953642206732,40.4096729052719
"221",660.8,45,2,1,2302,-3.87690173541196,40.5612746509025
"222",478.73,45,2,0,1133,-3.6896338357823,40.3412625269732
"223",494.53,37,3,0,704,-3.69775885678828,40.3451092002681
"224",426.29,45,3,0,1471,-3.6026093689492,40.3952244369313
"225",498.84,22,2,1,870,-3.80010295668617,40.587958641164
"226",427.22,49,7,1,964,-3.73102231635712,40.3837325394154
"227",590.85,52,3,1,947,-3.55231695619877,40.3941667606588
"228",379.38,25,6,0,9676,-3.67766229573172,40.468675589934
"229",596.32,50,2,0,5563,-3.5749242200749,40.3466803114163
"230",520.65,42,7,0,2003,-3.81052954085171,40.5934783404693
"231",534.7,63,2,0,1195,-3.57684480315074,40.3599472051021
"232",572.1,44,5,0,1756,-3.80085595159326,40.5247193839634
"233",626.87,52,4,1,869,-3.55827997890301,40.3946386677446
"234",485.08,44,3,0,2059,-3.65837685586885,40.5052098179469
"235",589.56,65,3,0,1076,-3.67458772738464,40.5973145933123
"236",490.58,28,4,0,352,-3.75109426057897,40.448765547527
"237",438.37,35,2,1,1359,-3.70520803818945,40.4003308386775
"238",425.95,36,2,0,690,-3.7205195532646,40.466635463573
"239",544.41,30,5,0,377,-3.83393553048372,40.50915037042
"240",471.47,30,4,0,5136,-3.7027857108973,40.356718722661
"241",509.68,52,4,1,2271,-3.60923055359162,40.588161352952
"242",646.69,50,2,0,2086,-3.72726605446078,40.5630558608566
"243",596.53,57,2,0,2333,-3.68885972988792,40.3723146680743
"244",692.78,35,1,0,718,-3.81675404377747,40.5852453291183
"245",546.84,38,4,0,2004,-3.72258447795175,40.4357372436672
"246",446.7,28,1,1,709,-3.65267007283401,40.6405621350743
"247",449.11,38,3,0,5013,-3.62415464965161,40.3907447458943
"248",550.93,35,3,1,409,-3.63783316614572,40.3341261081398
"249",655.72,41,0,1,644,-3.79182111353148,40.504354652646
"250",623.66,26,2,0,971,-3.79598150446545,40.5511248528957
"251",595.86,44,3,1,899,-3.81410038014874,40.5620332818246
"252",422.2,19,2,0,1864,-3.69084600566421,40.4075763535686
"253",587.22,49,1,0,1053,-3.68685197385494,40.5141679224791
"254",447.81,55,2,1,3425,-3.70164754088037,40.3577373507898
"255",414,65,5,1,1735,-3.68971286991145,40.4448527417146
"256",517.8,48,8,0,1004,-3.79668663230259,40.5889573730994
"257",361.8,67,3,0,3168,-3.78877419766504,40.3838961633621
"258",509.91,38,1,1,635,-3.67202199515887,40.3464116760762
"259",649.28,79,0,0,1336,-3.85628649368882,40.5828392975265
"260",533.14,44,2,0,571,-3.71897487363312,40.4349428767338
"261",489.03,37,3,0,500,-3.7823199251201,40.5037595237838
"262",569.52,59,2,0,1512,-3.5885244945297,40.3560666739242
"263",594.97,49,3,1,2529,-3.64841180176008,40.3355625696015
"264",600.15,37,5,0,536,-3.77509887921624,40.4959489830537
"265",383.74,26,5,1,2529,-3.6576655279845,40.3966881281696
"266",346.81,30,4,1,944,-3.59636277109385,40.4453015126521
"267",570.15,19,2,0,4600,-3.76755212640855,40.4728828024119
"268",632.67,46,0,1,2030,-3.55094951004721,40.4037844989682
"269",553.64,21,1,0,1156,-3.74751447779126,40.5697718508774
"270",640.31,63,3,1,914,-3.81959053720348,40.5412860925309
"271",548.41,43,2,0,718,-3.61915584662929,40.3602435735986
"272",614.57,33,1,1,5715,-3.86930449118372,40.5738622441888
"273",549.66,41,4,0,714,-3.7544301954098,40.5579957408365
"274",298.05,79,3,1,7117,-3.77131050450262,40.3652849818347
"275",540.96,55,0,0,1934,-3.6432131874375,40.4083121688338
"276",592.35,28,2,0,537,-3.79592001913115,40.5188222507015
"277",520.04,28,3,1,1495,-3.76657826090232,40.5587192504201
"278",601.66,59,3,0,1604,-3.76214495473541,40.4393777630059
"279",542.33,18,1,0,1351,-3.73596807927825,40.5496524482034
"280",521.36,29,3,0,977,-3.55597657323815,40.3796262422577
"281",609.81,49,0,0,1332,-3.64268879974261,40.3435939609073
"282",555.95,49,0,1,2520,-3.77639647477772,40.462056827778
"283",558.27,66,6,0,1012,-3.64488141469192,40.5820071975933
"284",609.8,54,1,1,3255,-3.62140256676357,40.3580926787574
"285",581.22,65,4,1,986,-3.83199767905753,40.5656363005284
"286",566.5,39,5,0,1985,-3.59179843913298,40.3180558649357
"287",438.81,35,3,0,1515,-3.72615079905372,40.4737632282078
"288",428.35,33,4,0,1085,-3.7660235524876,40.3999426471302
"289",600.77,38,0,1,1005,-3.64423912912607,40.6029304897413
"290",559.78,48,2,0,617,-3.53301552354824,40.4471503857523
"291",446.97,70,1,1,2182,-3.6633953189943,40.4899049437838
"292",571.53,66,3,0,1739,-3.60871867856476,40.322331216
"293",681.09,60,2,0,1509,-3.80155975718517,40.5552872621221
"294",342.08,36,1,0,952,-3.69183904943056,40.3881870472571
"295",366.88,13,1,0,1765,-3.63035918537062,40.4032772829989
"296",355.88,41,3,1,868,-3.65341067276895,40.4533267575782
"297",435.08,37,1,1,411,-3.81999909665901,40.3790889983531
"298",627.27,51,3,0,4434,-3.5515910171438,40.4943020743551
"299",476.4,32,4,0,1014,-3.75057786153629,40.4851558829425
"300",517.01,65,2,1,924,-3.81802272351924,40.467476378358
"301",505.41,58,4,0,1035,-3.6034221868962,40.4457580851624
"302",548.42,35,3,1,3004,-3.81851071652491,40.505009660311
"303",463.72,51,3,1,2536,-3.68586633608211,40.3864215553505
"304",601.61,56,0,1,3130,-3.67438152814284,40.4015588455834
"305",376.54,23,4,0,2856,-3.62655831102747,40.4735537831904
"306",456.27,69,4,1,1468,-3.6384749930352,40.6156073861523
"307",555.97,20,2,0,680,-3.77103313289117,40.4772881627316
"308",349.98,14,3,0,592,-3.70138750222977,40.3814730482874
"309",393.79,18,2,0,862,-3.73198415371589,40.4159441772383
"310",370.91,34,3,0,870,-3.75711547243409,40.4039240485756
"311",660.23,50,4,0,1450,-3.68753995010629,40.5843183601275
"312",506.45,32,1,0,441,-3.69518154053949,40.4017465293175
"313",576.51,63,6,1,957,-3.7300466145156,40.5601136035286
"314",426.71,52,5,0,713,-3.7034245778108,40.4179510769201
"315",301.21,44,7,1,2372,-3.72992372044828,40.4016251941677
"316",357.75,70,5,1,1044,-3.8120864343131,40.3685000959551
"317",472.84,40,4,1,2386,-3.67318003191613,40.5214878865983
"318",549.99,32,2,0,1931,-3.68081348887645,40.5280922600534
"319",569.59,37,2,0,2524,-3.60198025740683,40.3253769764444
"320",725.39,42,1,0,1206,-3.80489002189133,40.5673312129686
"321",603.2,45,3,0,1590,-3.56699059295934,40.4763894001255
"322",380,35,6,0,1153,-3.59516613380983,40.364673217223
"323",592.68,39,2,0,2296,-3.79693268516567,40.4635661227396
"324",540.22,44,5,0,2613,-3.81358744655736,40.4749964239774
"325",492.1,33,4,1,2432,-3.63758988943882,40.3440883215982
"326",422.61,55,3,1,2076,-3.70982731783297,40.4281297394075
"327",628.44,47,4,0,1649,-3.69630547889974,40.5349711581832
"328",590.21,41,4,0,1277,-3.79185748714954,40.4881646313472
"329",406.14,53,10,0,1727,-3.70883586057462,40.4756256063003
"330",504.33,25,1,0,2125,-3.75113186133094,40.51661797571
"331",579.65,56,5,0,909,-3.84008846138604,40.507324163965
"332",414.81,38,5,0,2567,-3.68478246135637,40.3864727268694
"333",591.34,56,3,0,5315,-3.76174771597143,40.4877117816824
"334",433.93,67,6,0,1067,-3.71893949036021,40.4443021916552
"335",487.57,81,4,0,1058,-3.79691184170078,40.5670217762701
"336",542.32,24,3,0,817,-3.53981087272987,40.4646123799495
"337",528.71,46,1,0,1127,-3.57502948571928,40.4398406406865
"338",443.2,53,7,1,953,-3.63830460500903,40.4930330053205
"339",465.27,52,1,0,6135,-3.69263869684655,40.3696253434056
"340",480.03,23,0,0,1149,-3.70399163183756,40.4573356154608
"341",489.02,35,2,0,2776,-3.72827257644385,40.3680038674967
"342",399.28,60,6,1,1307,-3.72044328923803,40.4054779310711
"343",434.48,30,4,1,426,-3.6472140485188,40.3525826242287
"344",621.75,55,5,0,958,-3.54105165225919,40.4662531309761
"345",560.62,53,4,1,956,-3.75860270634294,40.4496655682335
"346",623.25,42,1,0,1088,-3.77563318619505,40.6008167625871
"347",512.05,8,5,0,414,-3.82146327102091,40.5563156378223
"348",538.66,54,1,0,1343,-3.77386374757625,40.4473952332512
"349",554.22,60,6,0,2059,-3.69905053635593,40.4856726901373
"350",550.15,33,1,0,1570,-3.85033273333684,40.5421197526623
"351",508.3,38,2,1,1385,-3.62881835186854,40.4382305144565
"352",619.66,36,1,1,1310,-3.8239379777573,40.5140888011549
"353",540.36,36,3,0,538,-3.55784094971605,40.4584399906918
"354",498.73,39,3,0,662,-3.60828862022609,40.4370674241101
"355",467.1,62,3,0,797,-3.7750572783174,40.4451165919192
"356",529,54,7,0,1061,-3.71040817429312,40.5635006601689
"357",507.29,36,4,0,1157,-3.63663584853057,40.4013606616529
"358",508.97,46,0,0,1630,-3.64241441604681,40.4482287487946
"359",359.22,44,4,0,1276,-3.74745222737547,40.4027260932373
"360",625.8,66,3,0,3273,-3.70919901200104,40.5174863854656
"361",418.9,40,4,1,626,-3.68471413743682,40.4197059387108
"362",601.96,61,3,0,2561,-3.74035795135424,40.4257303816732
"363",420.03,26,2,0,2585,-3.67090077707544,40.4776390053332
"364",670.44,43,2,1,1769,-3.80528990630992,40.5293657902395
"365",628.64,54,1,0,1197,-3.7796743422281,40.4872168766335
"366",559.17,29,1,0,1900,-3.55594810969196,40.391529998905
"367",493.87,36,5,0,1186,-3.62799685189966,40.5842158247717
"368",595.1,37,2,1,636,-3.83221955816261,40.5041310252156
"369",442.69,71,8,0,931,-3.81232387220953,40.5849898821209
"370",410.28,26,5,0,520,-3.64698312790133,40.3886689517414
"371",408.38,21,1,0,647,-3.6919278878253,40.4561234781751
"372",602.31,42,0,0,1534,-3.54780007617082,40.3955860337475
"373",339.41,28,5,1,1010,-3.82265082104132,40.3912878862349
"374",458.89,26,2,1,656,-3.72761262869462,40.439942018874
"375",471.8,28,5,0,2644,-3.54924714993685,40.3827453325968
"376",394.64,64,4,1,2387,-3.70066388158593,40.4720909079071
"377",549.59,48,0,0,809,-3.63646045045461,40.483799681114
"378",455.68,35,1,1,625,-3.69321073531173,40.4840244832914
"379",413.75,67,2,1,2151,-3.70045160336886,40.4114829157945
"380",495,24,4,0,1247,-3.69037757602055,40.5571139958221
"381",587.4,31,7,0,720,-3.71968182360288,40.5536540793721
"382",457.2,51,3,0,920,-3.77443725357298,40.3847050150391
"383",600.89,42,2,0,806,-3.77310774042271,40.5578877510736
"384",467.3,57,4,1,1803,-3.7096283103805,40.4132836383535
"385",400.43,45,7,1,999,-3.59738292461261,40.500322053954
"386",487.72,51,4,0,1334,-3.71945482443552,40.3498708324507
"387",515.36,64,4,0,1985,-3.67958103746641,40.4036696237046
"388",616.32,47,4,0,3316,-3.66211797923315,40.3338957211701
"389",474.15,48,4,0,811,-3.66865400734823,40.4561264609685
"390",609.26,36,2,0,1622,-3.82208286037203,40.5243283275515
"391",633.92,52,4,0,2514,-3.71000859080814,40.5154069351731
"392",685.53,37,2,0,7846,-3.76799103242811,40.5150565359974
"393",500.95,36,5,1,894,-3.76472849734128,40.4994788936339
"394",579.99,43,4,0,1852,-3.8526007095119,40.5481466440717
"395",496.24,45,0,0,2319,-3.7076008084463,40.4600697523449
"396",508.53,35,1,0,1745,-3.63308133648243,40.4398137701675
"397",647.03,49,3,0,3499,-3.69941264819354,40.5232838736149
"398",447.03,70,4,0,1392,-3.6335838614963,40.5038954348303
"399",567.48,45,1,0,1332,-3.58205860501621,40.4146374367876
"400",467.15,42,5,0,1131,-3.58415389303118,40.3661231042817
"401",683.11,39,3,0,2811,-3.81044384334236,40.558407055377
"402",394.35,62,1,1,1672,-3.77961049505975,40.392518313881
"403",525.97,40,3,0,1287,-3.62452642046846,40.5056221450679
"404",651.73,64,2,0,12666,-3.64822472047526,40.639410764724
"405",566.79,41,6,0,1601,-3.6851817588089,40.5837079509394
"406",423.82,24,4,0,320,-3.52066573265474,40.4075948923593
"407",439.14,24,3,1,370,-3.57847565037664,40.3642836106475
"408",625.8,60,1,0,8436,-3.56143692284822,40.3991918694694
"409",542.23,45,2,0,3481,-3.73049059682526,40.434334039269
"410",549.32,41,1,0,1473,-3.7123445546953,40.3356133245863
"411",494.54,37,5,0,791,-3.75450805269647,40.5836882532341
"412",437.34,14,2,0,883,-3.62717697941698,40.42610973462
"413",669.89,58,5,0,4099,-3.82867356305942,40.5827462469926
"414",524.61,54,5,0,1104,-3.64964314699173,40.4282007198082
"415",550.57,28,2,0,372,-3.64729203269817,40.3474360292777
"416",529.13,29,2,0,510,-3.83787648284342,40.529759860062
"417",559.13,31,4,0,574,-3.82242850305047,40.5655640979996
"418",465.91,36,2,1,4714,-3.67857404923998,40.4297216553707
"419",541.71,35,1,0,3351,-3.53855477317702,40.4108449357329
"420",559.03,39,2,1,3190,-3.640668798564,40.614894745918
"421",475.99,26,1,0,1756,-3.76937796988059,40.4473388285143
"422",609.89,56,4,0,2912,-3.77426273315214,40.5048041135771
"423",535.22,46,1,0,1263,-3.75894107515924,40.4361778811319
"424",444.89,31,7,0,1247,-3.74477135725319,40.5635748486267
"425",450.89,45,6,0,1162,-3.61320364810526,40.472059317911
"426",471.92,74,3,1,1008,-3.58309917091392,40.4675919351168
"427",544.85,13,2,1,5159,-3.76028304498177,40.5752646771027
