"","garantia","edad_carnet","edad_coche","sex","edad","x","y","siniestros_ly","response","Expuesto"
"116","2",30,9,2,50,-2.66290389,42.87022038,1,2,0.684931506849315
"117","1",19,15,2,39,-2.66290389,42.87022038,3,3,0.473972602739726
"118","3",27,16,2,45,-2.66290389,42.87022038,0,0,0.191780821917808
"119","2",40,6,2,63,-2.66290389,42.87022038,3,0,0.334246575342466
"120","2",38,18,1,71,-2.66290389,42.87022038,3,2,0.495890410958904
"121","3",38,12,2,56,-2.66290389,42.87022038,0,2,0.772602739726027
"122","2",38,8,2,57,-2.66290389,42.87022038,1,1,0.983561643835616
"123","2",17,9,1,38,-2.72502895,42.84219616,3,4,0.353424657534247
"124","2",6,7,2,33,-2.72502895,42.84219616,0,2,0.224657534246575
"125","1",19,25,1,40,-2.72502895,42.84219616,2,0,0.413698630136986
"126","1",6,15,2,33,-2.72502895,42.84219616,3,1,0.16986301369863
"127","3",14,12,2,32,-2.72502895,42.84219616,1,11,0.6
"128","3",17,15,2,42,-2.72502895,42.84219616,2,12,0.504109589041096
"129","3",12,13,1,54,-2.3379676,42.65838632,1,1,0.336986301369863
"130","2",34,23,2,52,-2.3379676,42.65838632,3,10,0.654794520547945
"131","2",15,17,2,40,-2.44326365,42.7328212,1,2,0.0958904109589041
"132","1",26,24,2,45,-2.45144747,42.70274573,1,0,0.775342465753425
"133","3",51,1,2,69,-2.42267729,42.76765274,1,0,0.257534246575342
"134","3",21,12,1,39,-2.73226942,42.97067922,0,0,0.178082191780822
"135","2",37,14,2,55,-2.73226942,42.97067922,2,0,0.564383561643836
"136","3",18,9,1,48,-2.83455173,42.9827833,1,5,0.920547945205479
"137","3",25,11,2,43,-2.59339513,43.04546402,1,8,0.586301369863014
"138","2",15,15,2,51,-2.59339513,43.04546402,1,7,0.956164383561644
"139","2",22,16,2,40,-2.59339513,43.04546402,1,3,0.728767123287671
"140","2",17,12,2,37,-2.64813599,42.98307402,2,1,0.243835616438356
"141","1",16,17,2,36,-2.64813599,42.98307402,4,5,0.482191780821918
"142","3",31,7,2,49,-2.57056603,42.87323016,1,1,0.273972602739726
"143","2",34,14,2,53,-2.57056603,42.87323016,1,0,0.0273972602739726
"144","2",22,11,2,40,-2.57056603,42.87323016,4,28,0.936986301369863
"145","3",24,17,2,52,-2.55862629,42.82132129,3,21,0.580821917808219
"146","2",26,8,2,44,-2.55862629,42.82132129,1,1,0.263013698630137
"147","1",10,17,2,28,-2.55862629,42.82132129,2,2,0.967123287671233
"148","1",33,7,2,51,-2.61393264,42.78271683,2,1,0.86027397260274
"149","3",16,12,2,37,-2.76813095,42.82319265,0,4,0.923287671232877
"150","1",48,24,2,68,-2.76813095,42.82319265,3,1,0.30958904109589
"151","3",15,11,2,35,-2.76813095,42.82319265,3,4,0.123287671232877
"152","3",39,7,2,59,-2.76813095,42.82319265,2,3,0.586301369863014
"153","3",37,17,1,56,-2.76813095,42.82319265,2,6,0.868493150684931
"154","2",31,21,2,51,-2.76813095,42.82319265,3,5,0.178082191780822
"155","2",28,10,2,81,-2.72134171,42.89419168,1,3,0.717808219178082
"156","2",5,12,2,45,-2.72134171,42.89419168,1,8,0.767123287671233
"157","2",26,9,2,46,-2.72134171,42.89419168,4,19,0.928767123287671
"158","3",21,16,2,41,-2.72134171,42.89419168,1,1,0.104109589041096
"159","1",17,13,2,40,-2.72134171,42.89419168,0,0,0.646575342465753
"160","3",21,22,2,39,-2.72134171,42.89419168,1,24,0.978082191780822
"161","3",45,7,2,63,-2.72134171,42.89419168,2,5,0.526027397260274
"162","2",29,9,2,52,-2.72134171,42.89419168,2,6,0.578082191780822
"163","3",27,14,2,58,-2.72134171,42.89419168,2,13,0.958904109589041
"164","2",45,1,2,74,-2.72134171,42.89419168,2,1,0.427397260273973
"165","3",34,13,1,53,-2.72134171,42.89419168,1,2,0.449315068493151
"166","3",41,22,1,62,-2.72134171,42.89419168,4,20,0.715068493150685
"167","2",7,16,2,46,-2.72134171,42.89419168,3,15,0.50958904109589
"168","3",20,9,2,38,-2.72134171,42.89419168,2,8,0.284931506849315
"169","2",13,20,2,51,-2.72134171,42.89419168,0,0,0.273972602739726
"170","2",7,14,2,42,-2.72134171,42.89419168,1,8,0.484931506849315
"171","2",18,6,2,37,-2.72134171,42.89419168,2,1,0.767123287671233
"172","1",6,9,1,26,-2.72134171,42.89419168,5,0,0.0438356164383562
"173","2",35,9,2,55,-2.72134171,42.89419168,1,1,0.83013698630137
"174","1",16,11,2,41,-2.72134171,42.89419168,5,0,0.128767123287671
"175","3",6,19,1,43,-2.72134171,42.89419168,1,1,0.0876712328767123
"176","2",23,16,2,41,-2.72134171,42.89419168,3,19,0.726027397260274
"177","2",21,16,2,40,-2.72134171,42.89419168,1,2,0.547945205479452
"178","3",39,10,2,59,-2.72134171,42.89419168,0,1,0.16986301369863
"179","2",27,18,1,65,-2.72134171,42.89419168,1,3,0.553424657534247
"180","2",11,15,2,34,-2.72134171,42.89419168,2,10,0.501369863013699
"181","3",12,14,1,34,-2.72134171,42.89419168,0,0,0.484931506849315
"182","1",45,8,2,63,-2.72134171,42.89419168,5,2,0.731506849315068
"183","1",19,15,1,43,-2.39850605,42.86091927,2,0,0.328767123287671
"184","2",26,13,1,49,-2.39850605,42.86091927,2,5,0.956164383561644
"185","3",34,17,1,53,-2.39850605,42.86091927,3,1,0.394520547945205
"186","1",3,9,2,41,-2.39850605,42.86091927,0,0,0.0849315068493151
"187","1",30,13,2,49,-2.39850605,42.86091927,1,1,0.515068493150685
"188","2",16,17,2,41,-2.39850605,42.86091927,2,2,0.186301369863014
"189","1",16,17,2,41,-2.39850605,42.86091927,3,1,0.13972602739726
"190","2",5,16,2,23,-2.39850605,42.86091927,0,2,0.16986301369863
"191","2",29,12,2,53,-2.39850605,42.86091927,3,3,0.536986301369863
"192","2",25,7,2,57,-2.39850605,42.86091927,0,1,0.361643835616438
"193","1",30,7,2,49,-2.39850605,42.86091927,5,0,0.0684931506849315
"194","3",14,9,2,35,-2.39850605,42.86091927,2,18,0.810958904109589
"195","2",23,12,2,52,-2.49055901,42.89509586,4,3,0.0904109589041096
"196","1",37,11,2,56,-2.49055901,42.89509586,4,3,0.246575342465753
"197","3",11,10,1,38,-2.49055901,42.89509586,0,1,0.731506849315068
"198","1",19,13,2,39,-2.49055901,42.89509586,2,2,0.416438356164384
"199","1",33,15,2,51,-2.49055901,42.89509586,5,1,0.276712328767123
"200","3",18,14,2,41,-2.49055901,42.89509586,2,21,0.854794520547945
"201","3",36,11,1,56,-2.49055901,42.89509586,0,0,0.419178082191781
"202","2",27,10,2,45,-2.35635697,42.82114045,1,1,0.342465753424658
"203","2",31,13,2,49,-2.35635697,42.82114045,3,5,0.553424657534247
"204","2",18,13,2,36,-2.40415852,42.9184584,3,5,0.334246575342466
"205","1",48,5,2,66,-2.40415852,42.9184584,3,0,0.167123287671233
"206","1",23,13,2,42,-2.7640163,42.6648807,3,1,0.534246575342466
"207","2",51,13,2,70,-2.7640163,42.6648807,1,0,0.410958904109589
"208","3",24,12,1,45,-2.7640163,42.6648807,3,7,0.671232876712329
"209","3",8,13,1,36,-2.77089967,42.64127281,0,1,0.326027397260274
"210","3",25,13,2,43,-2.86911428,42.73560947,0,1,0.602739726027397
"211","3",51,18,2,69,-2.86911428,42.73560947,2,4,0.506849315068493
"212","3",23,13,2,55,-2.81075346,42.80549098,4,19,0.246575342465753
"213","2",21,13,1,40,-2.81075346,42.80549098,0,1,0.482191780821918
"214","1",49,24,2,69,-2.81075346,42.80549098,2,0,0.558904109589041
"215","1",27,9,2,57,-2.81075346,42.80549098,1,0,0.956164383561644
"216","3",15,16,2,42,-2.81075346,42.80549098,2,1,0.156164383561644
"217","3",12,18,2,36,-2.81075346,42.80549098,3,28,0.463013698630137
"218","3",34,8,2,61,-2.50311136,42.83636129,1,0,0.0383561643835616
"219","2",32,17,2,52,-2.50311136,42.83636129,5,26,0.578082191780822
"220","2",53,10,2,71,-2.50311136,42.83636129,0,1,0.498630136986301
"221","3",42,13,2,62,-2.31367311,42.90479751,1,6,0.545205479452055
"222","3",6,14,2,31,-2.31367311,42.90479751,1,14,0.495890410958904
"223","3",32,11,1,51,-2.2720087,42.87141533,1,2,0.780821917808219
"224","3",37,13,2,56,-2.2720087,42.87141533,2,1,0.112328767123288
"225","3",12,7,1,53,-2.56728256,42.52463474,1,0,0.0547945205479452
"226","1",20,13,1,39,-2.56728256,42.52463474,1,0,0.915068493150685
"227","1",13,9,1,33,-2.67050292,42.54592498,6,3,0.164383561643836
"228","3",27,10,2,49,-2.591341,42.57127928,1,2,0.553424657534247
"229","2",38,7,2,58,-2.591341,42.57127928,2,1,0.975342465753425
"230","2",35,11,2,54,-2.4515334,42.50976535,3,12,1
"231","3",19,12,1,38,-2.4515334,42.50976535,1,4,0.331506849315069
"232","3",20,27,2,50,-2.4515334,42.50976535,1,14,0.271232876712329
"233","3",40,8,2,59,-2.62456105,42.50709378,1,3,0.753424657534247
"234","2",39,18,2,60,-2.97741486,43.13820798,1,1,0.476712328767123
"235","1",24,8,2,45,-2.97741486,43.13820798,3,1,0.465753424657534
"236","3",13,11,2,41,-2.97741486,43.13820798,2,28,1
"237","2",28,16,2,57,-2.97741486,43.13820798,1,1,0.550684931506849
"238","3",32,9,1,50,-2.97741486,43.13820798,0,0,0.783561643835617
"239","1",40,9,2,58,-2.97741486,43.13820798,0,0,0.449315068493151
"240","2",33,15,2,57,-2.97741486,43.13820798,1,4,0.408219178082192
"241","1",32,13,2,51,-2.97741486,43.13820798,0,0,0.671232876712329
"242","2",15,12,2,37,-2.97741486,43.13820798,2,9,0.715068493150685
"243","1",36,12,2,65,-2.97741486,43.13820798,4,1,0.515068493150685
"244","3",27,7,2,47,-2.97741486,43.13820798,3,7,0.334246575342466
"245","2",32,10,2,51,-2.97741486,43.13820798,3,7,0.89041095890411
"246","2",43,9,2,61,-2.97741486,43.13820798,2,1,0.706849315068493
"247","1",47,14,2,79,-2.97741486,43.13820798,2,0,0.454794520547945
"248","2",12,10,2,30,-2.97741486,43.13820798,2,5,0.846575342465753
"249","3",16,10,2,35,-2.97741486,43.13820798,1,10,0.791780821917808
"250","2",38,14,1,58,-2.97741486,43.13820798,1,1,0.854794520547945
"251","3",32,9,2,51,-2.97741486,43.13820798,1,5,0.802739726027397
"252","3",34,13,2,74,-2.97741486,43.13820798,3,18,0.572602739726027
"253","1",10,12,1,45,-2.97741486,43.13820798,3,0,0.4
"254","2",26,18,2,61,-2.99427152,43.0960069,1,2,0.564383561643836
"255","2",29,15,1,49,-2.99427152,43.0960069,2,0,0.0273972602739726
"256","1",21,9,2,47,-2.99427152,43.0960069,2,2,0.306849315068493
"257","2",14,7,2,41,-3.01765075,43.16846931,1,0,0.402739726027397
"258","1",39,9,2,59,-2.92393953,42.79277666,2,0,0.312328767123288
"259","3",37,20,2,61,-3.04163906,42.79043635,1,0,0.0821917808219178
"260","2",49,15,2,69,-3.18596931,42.88087917,0,1,0.526027397260274
"261","3",26,15,2,44,-2.92307523,42.82892861,3,29,0.682191780821918
"262","2",22,4,2,44,-2.88854596,42.94106004,1,2,0.564383561643836
"263","2",43,13,2,75,-2.93724594,43.02862748,4,10,0.868493150684931
"264","2",37,16,1,55,-2.99773602,42.9874976,4,0,0.0849315068493151
"265","1",30,6,2,48,-2.99773602,42.9874976,1,0,0.495890410958904
"266","2",31,10,2,53,-2.98015006,43.06771608,5,22,0.498630136986301
"267","3",20,10,1,39,-2.98015006,43.06771608,1,1,0.243835616438356
"268","1",35,8,2,61,-2.98015006,43.06771608,5,1,0.156164383561644
"269","1",39,2,2,60,-2.98015006,43.06771608,2,0,0.936986301369863
"270","2",29,22,2,48,-2.98015006,43.06771608,3,2,0.161643835616438
"271","1",40,11,2,58,-2.98015006,43.06771608,1,0,0.391780821917808
"272","2",17,14,1,36,-2.98015006,43.06771608,2,5,0.728767123287671
"273","3",8,5,1,27,-2.98015006,43.06771608,0,1,0.413698630136986
"274","3",30,9,2,56,-2.98015006,43.06771608,1,1,0.712328767123288
"275","1",55,14,2,86,-2.98015006,43.06771608,3,0,0.235616438356164
"276","1",37,20,2,55,-2.98015006,43.06771608,5,3,0.432876712328767
"277","1",5,12,2,24,-2.98015006,43.06771608,0,0,0.183561643835616
"278","3",29,14,1,56,-2.98015006,43.06771608,4,11,0.46027397260274
"279","3",16,11,2,46,-2.98015006,43.06771608,1,3,0.293150684931507
"280","1",22,6,1,40,-3.12160118,43.12974219,0,0,0.243835616438356
"281","2",35,9,2,54,-3.02477602,43.09696453,2,4,0.778082191780822
"282","1",14,7,2,33,-3.02477602,43.09696453,1,1,0.293150684931507
"283","1",12,17,1,34,-3.09667071,43.07587088,0,0,0.257534246575342
"284","3",32,18,2,55,-3.12747544,43.12579727,1,5,0.380821917808219
"285","3",22,11,2,40,-2.66090524,42.92671939,0,2,0.917808219178082
"286","1",34,13,2,53,-2.66090524,42.92671939,1,0,0.917808219178082
"287","2",30,11,2,48,-2.60454775,42.92195961,0,0,0.232876712328767
"288","1",12,14,1,33,-2.60454775,42.92195961,2,1,0.271232876712329
"289","3",12,13,2,31,-2.60454775,42.92195961,0,3,0.273972602739726
"290","2",29,15,2,47,-1.85231999,38.99836197,0,2,0.676712328767123
"291","2",28,7,1,48,-1.85231999,38.99836197,2,3,0.808219178082192
"292","2",16,10,2,34,-1.85231999,38.99836197,4,23,0.841095890410959
"293","3",27,16,2,46,-1.85231999,38.99836197,5,18,0.131506849315068
"294","1",48,5,2,75,-1.85231999,38.99836197,0,0,0.646575342465753
"295","2",54,6,2,77,-1.85231999,38.99836197,2,0,0.304109589041096
"296","2",36,11,2,69,-1.85231999,38.99836197,3,7,0.728767123287671
"297","1",36,11,2,56,-1.85231999,38.99836197,1,0,0.336986301369863
"298","3",8,6,2,32,-1.85231999,38.99836197,0,1,0.120547945205479
"299","3",30,10,1,48,-1.85231999,38.99836197,1,2,0.350684931506849
"300","2",26,11,2,46,-1.85231999,38.99836197,2,3,0.706849315068493
"301","3",29,12,2,49,-1.85231999,38.99836197,0,4,0.750684931506849
"302","2",17,9,2,35,-1.85231999,38.99836197,2,4,0.846575342465753
"303","1",22,8,2,41,-1.85331722,38.98773354,5,2,0.161643835616438
"304","1",43,7,2,68,-1.85331722,38.98773354,2,0,0.331506849315069
"305","1",26,14,1,55,-1.85331722,38.98773354,1,1,0.726027397260274
"306","2",41,7,2,65,-1.85331722,38.98773354,2,1,0.915068493150685
"307","1",36,11,2,56,-1.85331722,38.98773354,0,0,0.438356164383562
"308","3",20,9,1,64,-1.85331722,38.98773354,1,1,0.345205479452055
"309","1",6,11,1,43,-1.85331722,38.98773354,1,0,0.161643835616438
"310","3",36,13,2,54,-1.85331722,38.98773354,0,1,0.389041095890411
"311","2",35,10,1,57,-1.85331722,38.98773354,2,0,0.208219178082192
"312","1",28,7,2,50,-1.85331722,38.98773354,1,0,0.879452054794521
"313","1",27,20,2,46,-1.85331722,38.98773354,2,2,0.734246575342466
"314","1",34,22,2,52,-1.85331722,38.98773354,4,0,0.257534246575342
"315","2",19,10,2,54,-1.85331722,38.98773354,3,8,0.671232876712329
"316","2",25,14,2,44,-1.85331722,38.98773354,1,3,0.553424657534247
"317","1",45,12,1,63,-1.85331722,38.98773354,4,0,0.0465753424657534
"318","1",37,8,2,55,-1.85331722,38.98773354,4,1,0.638356164383562
"319","2",27,17,1,50,-1.85331722,38.98773354,2,6,0.923287671232877
"320","2",7,16,2,47,-1.86092037,38.98859932,2,6,0.364383561643836
"321","2",6,12,2,28,-1.86092037,38.98859932,2,7,0.479452054794521
"322","1",43,12,2,72,-1.86092037,38.98859932,1,0,0.249315068493151
"323","1",1,16,1,38,-1.86092037,38.98859932,1,2,0.353424657534247
"324","1",15,12,2,33,-1.86092037,38.98859932,0,0,0.345205479452055
"325","3",16,8,2,37,-1.86092037,38.98859932,1,13,0.915068493150685
"326","2",39,10,2,58,-1.86092037,38.98859932,2,2,0.936986301369863
"327","1",5,9,2,30,-1.86540205,38.99294775,0,0,0.849315068493151
"328","2",26,14,2,45,-1.86540205,38.99294775,4,11,0.673972602739726
"329","2",32,11,2,50,-1.86540205,38.99294775,1,0,0.0191780821917808
"330","2",22,14,2,49,-1.86540205,38.99294775,3,6,0.249315068493151
"331","1",42,8,2,61,-1.86540205,38.99294775,0,0,0.813698630136986
"332","2",41,15,2,64,-1.86540205,38.99294775,2,4,0.764383561643836
"333","2",26,8,1,45,-1.86540205,38.99294775,0,0,0.306849315068493
"334","2",49,6,1,69,-1.86540205,38.99294775,2,0,0.641095890410959
"335","1",41,20,2,64,-1.86540205,38.99294775,4,4,0.452054794520548
"336","3",24,4,2,64,-1.86540205,38.99294775,0,0,0.00821917808219178
"337","1",31,17,2,51,-1.86540205,38.99294775,4,10,0.89041095890411
"338","2",7,9,2,25,-1.86540205,38.99294775,1,5,0.816438356164384
"339","1",49,17,2,67,-1.86540205,38.99294775,3,0,0.232876712328767
"340","3",6,18,1,27,-1.86540205,38.99294775,1,1,0.328767123287671
"341","3",26,15,2,46,-1.86540205,38.99294775,2,12,0.747945205479452
"342","3",26,12,2,46,-1.86540205,38.99294775,1,6,0.808219178082192
"343","3",48,4,2,68,-1.86540205,38.99294775,1,1,0.810958904109589
"344","2",7,5,1,36,-1.86540205,38.99294775,1,3,0.772602739726027
"345","3",6,15,2,40,-1.86540205,38.99294775,0,0,0.106849315068493
"346","1",41,10,2,60,-1.86540205,38.99294775,1,0,0.134246575342466
"347","2",32,12,2,51,-1.86540205,38.99294775,1,1,0.495890410958904
"348","2",8,8,2,30,-1.86540205,38.99294775,1,6,0.641095890410959
"349","2",17,13,2,36,-1.86233348,38.99952918,1,3,0.435616438356164
"350","2",16,13,2,43,-1.86233348,38.99952918,2,3,0.449315068493151
"351","2",12,7,1,34,-1.86233348,38.99952918,2,1,0.805479452054795
"352","1",32,2,1,52,-1.86233348,38.99952918,2,0,0.189041095890411
"353","1",41,17,2,59,-1.86233348,38.99952918,6,8,0.465753424657534
"354","3",46,16,2,78,-1.86233348,38.99952918,3,14,0.901369863013699
"355","2",36,14,2,59,-1.86233348,38.99952918,4,4,0.153424657534247
"356","3",47,8,1,67,-1.86233348,38.99952918,0,0,0.142465753424658
"357","1",14,8,1,35,-1.86233348,38.99952918,1,0,0.767123287671233
"358","2",37,14,2,57,-1.86233348,38.99952918,0,0,0.726027397260274
"359","2",29,11,2,47,-1.86233348,38.99952918,1,0,0.591780821917808
"360","1",14,16,2,32,-1.86233348,38.99952918,0,0,0.232876712328767
"361","2",28,16,1,53,-1.86233348,38.99952918,1,1,0.868493150684932
"362","3",19,15,1,46,-1.86233348,38.99952918,0,1,0.767123287671233
"363","2",29,14,2,52,-1.86233348,38.99952918,4,15,0.361643835616438
"364","2",30,21,2,49,-1.86233348,38.99952918,0,1,0.2
"365","3",26,4,2,49,-1.86233348,38.99952918,1,2,0.276712328767123
"366","3",29,16,1,62,-1.86233348,38.99952918,2,3,0.115068493150685
